index,author,date,post,sentiment
0,OnnMacMahal,Aug 30 2022,swapping,neutral
0,OnnMacMahal,Aug 30 2022,back,neutral
0,OnnMacMahal,Aug 30 2022,blue,neutral
0,OnnMacMahal,Aug 30 2022,red,neutral
0,OnnMacMahal,Aug 30 2022,fight,neutral
0,OnnMacMahal,Aug 30 2022,starts,neutral
0,OnnMacMahal,Aug 30 2022,doesnt,neutral
0,OnnMacMahal,Aug 30 2022,quite,neutral
0,OnnMacMahal,Aug 30 2022,enough,neutral
0,OnnMacMahal,Aug 30 2022,power,neutral
0,OnnMacMahal,Aug 30 2022,utility,neutral
0,OnnMacMahal,Aug 30 2022,justify,neutral
0,OnnMacMahal,Aug 30 2022,using,neutral
0,OnnMacMahal,Aug 30 2022,main,neutral
0,OnnMacMahal,Aug 30 2022,spec,neutral
0,OnnMacMahal,Aug 30 2022,see,neutral
0,OnnMacMahal,Aug 30 2022,lot,neutral
0,OnnMacMahal,Aug 30 2022,considering,neutral
0,OnnMacMahal,Aug 30 2022,yellow,neutral
0,OnnMacMahal,Aug 30 2022,line,neutral
0,OnnMacMahal,Aug 30 2022,keeping,neutral
0,OnnMacMahal,Aug 30 2022,yellow,neutral
0,OnnMacMahal,Aug 30 2022,setup,neutral
0,OnnMacMahal,Aug 30 2022,around,neutral
0,OnnMacMahal,Aug 30 2022,dont,neutral
0,OnnMacMahal,Aug 30 2022,see,neutral
0,OnnMacMahal,Aug 30 2022,many,neutral
0,OnnMacMahal,Aug 30 2022,folks,neutral
0,OnnMacMahal,Aug 30 2022,yellow,neutral
0,OnnMacMahal,Aug 30 2022,line,neutral
0,OnnMacMahal,Aug 30 2022,long,neutral
0,OnnMacMahal,Aug 30 2022,Obviously,neutral
0,OnnMacMahal,Aug 30 2022,exceptions,neutral
0,OnnMacMahal,Aug 30 2022,moment,neutral
0,OnnMacMahal,Aug 30 2022,minstrels,neutral
0,OnnMacMahal,Aug 30 2022,staying,neutral
0,OnnMacMahal,Aug 30 2022,yellow,neutral
0,OnnMacMahal,Aug 30 2022,spec,neutral
